[2026-06-13 23:43:54.846] Client: 发送数据包 | Seq=23 | StudentID=20788 | MsgType=2 | SeqNum=23 | AckNum=0 | DataLen=55 | Flags=0 | D*55
[2026-06-13 23:43:54.862] Client: 收到 ACK | Seq=19 | RTT=115.63ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=19 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.863] Client: 发送数据包 | Seq=24 | StudentID=20788 | MsgType=2 | SeqNum=24 | AckNum=0 | DataLen=79 | Flags=0 | D*79
[2026-06-13 23:43:54.886] Client: 收到 ACK | Seq=20 | RTT=107.56ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=20 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.889] Client: 发送数据包 | Seq=25 | StudentID=20788 | MsgType=2 | SeqNum=25 | AckNum=0 | DataLen=48 | Flags=0 | D*48
[2026-06-13 23:43:54.910] Client: 收到 ACK | Seq=21 | RTT=112.95ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=21 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.912] Client: 发送数据包 | Seq=26 | StudentID=20788 | MsgType=2 | SeqNum=26 | AckNum=0 | DataLen=48 | Flags=0 | D*48
[2026-06-13 23:43:54.930] Client: 收到 ACK | Seq=22 | RTT=108.15ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=22 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.932] Client: 发送数据包 | Seq=27 | StudentID=20788 | MsgType=2 | SeqNum=27 | AckNum=0 | DataLen=53 | Flags=0 | D*53
[2026-06-13 23:43:54.955] Client: 收到 ACK | Seq=23 | RTT=107.71ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=23 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.958] Client: 发送数据包 | Seq=28 | StudentID=20788 | MsgType=2 | SeqNum=28 | AckNum=0 | DataLen=73 | Flags=0 | D*73
[2026-06-13 23:43:54.979] Client: 收到 ACK | Seq=24 | RTT=115.41ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=24 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:54.980] Client: 发送数据包 | Seq=29 | StudentID=20788 | MsgType=2 | SeqNum=29 | AckNum=0 | DataLen=55 | Flags=0 | D*55
[2026-06-13 23:43:55.010] Client: 收到 ACK | Seq=25 | RTT=120.08ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=25 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:55.012] Client: 发送数据包 | Seq=30 | StudentID=20788 | MsgType=2 | SeqNum=30 | AckNum=0 | DataLen=66 | Flags=0 | D*66
[2026-06-13 23:43:55.032] Client: 收到 ACK | Seq=26 | RTT=118.87ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=26 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:55.048] Client: 收到 ACK | Seq=27 | RTT=115.09ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=27 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:55.067] Client: 收到 ACK | Seq=28 | RTT=108.73ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=28 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:55.374] Client: 超时重传 | base=29 | next_seq=31
[2026-06-13 23:43:55.374] Client: 重传 | Seq=29 | StudentID=20788 | MsgType=2 | SeqNum=29 | AckNum=0 | DataLen=55 | Flags=0 | D*55
[2026-06-13 23:43:55.376] Client: 重传 | Seq=30 | StudentID=20788 | MsgType=2 | SeqNum=30 | AckNum=0 | DataLen=66 | Flags=0 | D*66
[2026-06-13 23:43:55.384] Client: 收到 ACK | Seq=29 | RTT=8.08ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=29 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:55.408] Client: 收到 ACK | Seq=30 | RTT=31.25ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=30 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:55.409] Client: 发送完成
